itteration ;2.Real ;2.Imaginary ;0.Real ;0.Imaginary ;0.Real ;0.Imaginary ;
25 ;102,604139891993 ;-12,3701693488548 ;225,959291130554 ;-5,71696898708573 ;225,959291130554 ;-5,71696898708573 ;
26 ;102,536040201667 ;-12,5880483828355 ;225,956785989661 ;-5,71600358467164 ;225,956785989661 ;-5,71600358467164 ;
27 ;102,48752629085 ;-12,7765198201093 ;225,898930419705 ;-5,83933037867034 ;225,898930419705 ;-5,83933037867034 ;
28 ;102,433290549778 ;-12,9678331622271 ;225,896767235727 ;-5,83843082990272 ;225,896767235727 ;-5,83843082990272 ;
29 ;102,395550366066 ;-13,1330223939268 ;225,849208241729 ;-5,9471551250264 ;225,849208241729 ;-5,9471551250264 ;
30 ;102,353036337339 ;-13,3007598224906 ;225,847345038452 ;-5,94631990457131 ;225,847345038452 ;-5,94631990457131 ;
31 ;102,324347366505 ;-13,4453208746872 ;225,808585658219 ;-6,04203908506496 ;225,808585658219 ;-6,04203908506496 ;
32 ;102,291697798283 ;-13,592166407582 ;225,806985056981 ;-6,04126605429572 ;225,806985056981 ;-6,04126605429572 ;
33 ;102,270571698361 ;-13,7184774851862 ;225,775719472235 ;-6,12541953453725 ;225,775719472235 ;-6,12541953453725 ;
34 ;102,246180778681 ;-13,8468359431116 ;225,774348274098 ;-6,12470611835621 ;225,774348274098 ;-6,12470611835621 ;
35 ;102,23133527346 ;-13,9570241159962 ;225,749440172976 ;-6,1985882959915 ;225,749440172976 ;-6,1985882959915 ;
36 ;102,213818524618 ;-14,0690463011683 ;225,748268961914 ;-6,19793162343213 ;225,748268961914 ;-6,19793162343213 ;
37 ;102,204152252255 ;-14,1650107379563 ;225,728731994196 ;-6,26270431761102 ;225,728731994196 ;-6,26270431761102 ;
38 ;102,192319576195 ;-14,262617066122 ;225,727734764514 ;-6,26210133313225 ;225,727734764514 ;-6,26210133313225 ;
39 ;102,186889633107 ;-14,3460507157933 ;225,712714938966 ;-6,3188055802866 ;225,712714938966 ;-6,3188055802866 ;
40 ;102,179721237334 ;-14,4309532216505 ;225,711868748697 ;-6,31825313134276 ;225,711868748697 ;-6,31825313134276 ;
41 ;102,177723175795 ;-14,5033629071664 ;225,700628625589 ;-6,36782026321299 ;225,700628625589 ;-6,36782026321299 ;
42 ;102,174348125426 ;-14,5770856033974 ;225,699913276545 ;-6,36731516861389 ;225,699913276545 ;-6,36731516861389 ;
43 ;102,175098179537 ;-14,6398105377836 ;225,691817812433 ;-6,41057713577819 ;225,691817812433 ;-6,41057713577819 ;
44 ;102,174775336377 ;-14,7037081508195 ;225,691215556768 ;-6,41011623849606 ;225,691215556768 ;-6,41011623849606 ;
45 ;102,17769466622 ;-14,7579369185928 ;225,685719463491 ;-6,44781517056285 ;225,685719463491 ;-6,44781517056285 ;
46 ;102,179795790665 ;-14,8132120539212 ;225,68521473607 ;-6,44739537795269 ;225,68521473607 ;-6,44739537795269 ;
47 ;102,184396549008 ;-14,8599981226517 ;225,681851221639 ;-6,48019239132611 ;225,681851221639 ;-6,48019239132611 ;
48 ;102,188391355471 ;-14,9077169321626 ;225,68143039709 ;-6,47981070517203 ;225,68143039709 ;-6,47981070517203 ;
49 ;102,19426439554 ;-14,9479927729135 ;225,679801162731 ;-6,50829398286655 ;225,679801162731 ;-6,50829398286655 ;
50 ;102,199707366858 ;-14,9890992089601 ;225,679452335802 ;-6,5079475212191 ;225,679452335802 ;-6,5079475212191 ;
51 ;102,206511423468 ;-15,0236891123744 ;225,679218710544 ;-6,53263969812625 ;225,679218710544 ;-6,53263969812625 ;
52 ;102,213030204392 ;-15,0590178598648 ;225,678931498251 ;-6,53232571053511 ;225,678931498251 ;-6,53232571053511 ;
53 ;102,220482394144 ;-15,0886495383563 ;225,679806600071 ;-6,55369060303386 ;225,679806600071 ;-6,55369060303386 ;
54 ;102,227767598324 ;-15,1189377188013 ;225,679571964026 ;-6,55340648048702 ;225,679571964026 ;-6,55340648048702 ;
55 ;102,235635097472 ;-15,1442527858667 ;225,681313784347 ;-6,57185520225503 ;225,681313784347 ;-6,57185520225503 ;
56 ;102,243431376216 ;-15,1701505270385 ;225,681123871656 ;-6,57159848289819 ;225,681123871656 ;-6,57159848289819 ;
57 ;102,251524147223 ;-15,1917139430621 ;225,683529187882 ;-6,58749498992739 ;225,683529187882 ;-6,58749498992739 ;
58 ;102,259622381668 ;-15,2137939056462 ;225,683377189038 ;-6,58726336144299 ;225,683377189038 ;-6,58726336144299 ;
59 ;102,267786831179 ;-15,2321024764224 ;225,686276217492 ;-6,6009294691154 ;225,686276217492 ;-6,6009294691154 ;
60 ;102,276017322121 ;-15,2508684254159 ;225,686156239727 ;-6,60072076848188 ;225,686156239727 ;-6,60072076848188 ;
61 ;102,284130784208 ;-15,2663584354869 ;225,689407948935 ;-6,61244068252037 ;225,689407948935 ;-6,61244068252037 ;
62 ;102,292357325828 ;-15,2822529396134 ;225,689314903597 ;-6,61225289374215 ;225,689314903597 ;-6,61225289374215 ;
63 ;102,300323274683 ;-15,2953069977931 ;225,692802914997 ;-6,6222772952074 ;225,692802914997 ;-6,6222772952074 ;
64 ;102,308438009515 ;-15,3087183352108 ;225,692732417579 ;-6,62210854549876 ;225,692732417579 ;-6,62210854549876 ;
65 ;102,316181915443 ;-15,3196715046338 ;225,696361427586 ;-6,63065826797966 ;225,696361427586 ;-6,63065826797966 ;
66 ;102,324100878332 ;-15,3309398479823 ;225,696309709163 ;-6,63050682279723 ;225,696309709163 ;-6,63050682279723 ;
67 ;102,331566629768 ;-15,3400851278744 ;225,700002372912 ;-6,63777615769483 ;225,700002372912 ;-6,63777615769483 ;
68 ;102,339225898103 ;-15,3495080764165 ;225,699966201806 ;-6,63764041494019 ;225,699966201806 ;-6,63764041494019 ;
