itteration ;2.Real ;2.Imaginary ;0.Real ;0.Imaginary ;0.Real ;0.Imaginary ;
1 ;108,586370316986 ;-0,72282125760601 ;228,356788443234 ;-2,35663846775546 ;228,356788443234 ;-2,35663846775546 ;
2 ;107,808741547651 ;-1,40537288463884 ;228,431830789896 ;-2,22467402725471 ;228,431830789896 ;-2,22467402725471 ;
3 ;107,39454337802 ;-2,26572402541285 ;228,047360186724 ;-2,75784418117074 ;228,047360186724 ;-2,75784418117074 ;
4 ;106,896459460293 ;-3,07375671456623 ;228,036453737402 ;-2,75587439841635 ;228,036453737402 ;-2,75587439841635 ;
5 ;106,5103659235 ;-3,800946953407 ;227,683142344937 ;-3,20389576340737 ;227,683142344937 ;-3,20389576340737 ;
6 ;106,090109883545 ;-4,53463776644392 ;227,673585125006 ;-3,20254893342481 ;227,673585125006 ;-3,20254893342481 ;
7 ;105,759933632677 ;-5,18136190871996 ;227,367852665435 ;-3,60313153815099 ;227,367852665435 ;-3,60313153815099 ;
8 ;105,401504216657 ;-5,83675683571438 ;227,359412098321 ;-3,60177285035787 ;227,359412098321 ;-3,60177285035787 ;
9 ;105,121169524746 ;-6,41273343863784 ;227,096067297832 ;-3,96055235514421 ;227,096067297832 ;-3,96055235514421 ;
10 ;104,81643810986 ;-6,9965447123184 ;227,08862233209 ;-3,95918456448401 ;227,08862233209 ;-3,95918456448401 ;
11 ;104,579456520505 ;-7,5086470923152 ;226,862481220444 ;-4,27994255761951 ;226,862481220444 ;-4,27994255761951 ;
12 ;104,321435343168 ;-8,02771188782186 ;226,855930132645 ;-4,27858859924921 ;226,855930132645 ;-4,27858859924921 ;
13 ;104,122047250907 ;-8,48221328881653 ;226,662365003782 ;-4,56481803212393 ;226,662365003782 ;-4,56481803212393 ;
14 ;103,90456834329 ;-8,94290900124037 ;226,656614387476 ;-4,56349592767441 ;226,656614387476 ;-4,56349592767441 ;
15 ;103,737697873833 ;-9,34560035172597 ;226,491510670624 ;-4,81846490427765 ;226,491510670624 ;-4,81846490427765 ;
16 ;103,555319391524 ;-9,75381337302135 ;226,486474648106 ;-4,81718782155281 ;226,486474648106 ;-4,81718782155281 ;
17 ;103,416500192841 ;-10,1100163686259 ;226,346179875711 ;-5,0439347492652 ;226,346179875711 ;-5,0439347492652 ;
18 ;103,2644286468 ;-10,4711499038719 ;226,341779903115 ;-5,0427119578663 ;226,341779903115 ;-5,0427119578663 ;
19 ;103,149737236752 ;-10,7857320580813 ;226,223057744299 ;-5,24404406945173 ;226,223057744299 ;-5,24404406945173 ;
20 ;103,023758067375 ;-11,1047231328049 ;226,219222350772 ;-5,24288175626558 ;226,219222350772 ;-5,24288175626558 ;
21 ;102,929754385608 ;-11,3821181665997 ;226,11921094182 ;-5,42137887840257 ;226,11921094182 ;-5,42137887840257 ;
22 ;102,826169577591 ;-11,6634600320398 ;226,115875390474 ;-5,42028080922581 ;226,115875390474 ;-5,42028080922581 ;
23 ;102,749843716875 ;-11,907691966961 ;226,032049372937 ;-5,57830301583673 ;226,032049372937 ;-5,57830301583673 ;
24 ;102,665415559807 ;-12,1554599068738 ;226,029155267538 ;-5,57727106933424 ;226,029155267538 ;-5,57727106933424 ;
