itteration ;0.Real ;0.Imaginary ;1.Real ;1.Imaginary ;3.Real ;3.Imaginary ;
1 ;228,356788443234 ;-2,35663846775546 ;108,512887983447 ;-1,38309207678854 ;110,187457493915 ;-0,785487091661585 ;
2 ;228,431830789896 ;-2,22467402725471 ;108,490508228525 ;-1,37801140460871 ;109,397803326869 ;-2,5272800172462 ;
3 ;228,047360186724 ;-2,75784418117074 ;107,530552116867 ;-3,0286944448532 ;109,386317513221 ;-2,52165760089938 ;
4 ;228,036453737402 ;-2,75587439841635 ;107,511694186062 ;-3,0172301031899 ;108,643526313632 ;-4,00257102436153 ;
5 ;227,683142344937 ;-3,20389576340737 ;106,702992686851 ;-4,51615203624221 ;108,63339314118 ;-3,99773099771307 ;
6 ;227,673585125006 ;-3,20254893342481 ;106,686572427127 ;-4,50473152526783 ;107,998050655269 ;-5,3164786230118 ;
7 ;227,367852665435 ;-3,60313153815099 ;105,996876845217 ;-5,84496197873112 ;107,989180079173 ;-5,31177397130032 ;
8 ;227,359412098321 ;-3,60177285035787 ;105,982642819248 ;-5,83404805483011 ;107,449787426728 ;-6,48728467173549 ;
9 ;227,096067297832 ;-3,96055235514421 ;105,396222931496 ;-7,02893920983548 ;107,442056231399 ;-6,48275596984595 ;
10 ;227,08862233209 ;-3,95918456448401 ;105,383948493998 ;-7,01865375986872 ;106,986102502421 ;-7,52868242017104 ;
11 ;226,862481220444 ;-4,27994255761951 ;104,887349604891 ;-8,08183117725624 ;106,979393626921 ;-7,52438166607932 ;
12 ;226,855930132645 ;-4,27858859924921 ;104,876814985537 ;-8,07224020727589 ;106,595784618394 ;-8,45325802018658 ;
13 ;226,662365003782 ;-4,56481803212393 ;104,458179055391 ;-9,01647376624211 ;106,589986364783 ;-8,44921978254913 ;
14 ;226,656614387476 ;-4,56349592767441 ;104,449177418166 ;-9,00760936051791 ;106,268955456107 ;-9,27266438087057 ;
15 ;226,491510670624 ;-4,81846490427765 ;104,098051472106 ;-9,84473631229893 ;106,263963098766 ;-9,26890811195981 ;
16 ;226,486474648106 ;-4,81718782155281 ;104,090392008224 ;-9,83660484771853 ;105,996921950087 ;-9,9976351562414 ;
17 ;226,346179875711 ;-5,0439347492652 ;103,797572368056 ;-10,577530739411 ;105,992638881876 ;-9,9941685545872 ;
18 ;226,341779903115 ;-5,0427119578663 ;103,791081681779 ;-10,5701194468147 ;105,772045129024 ;-10,6380070109655 ;
19 ;226,223057744299 ;-5,24404406945173 ;103,548476926581 ;-11,2248400934154 ;105,768383376028 ;-10,6348289442463 ;
20 ;226,219222350772 ;-5,24288175626558 ;103,542999294341 ;-11,2181225095108 ;105,587624007094 ;-11,2027544607631 ;
21 ;226,11921094182 ;-5,42137887840257 ;103,34350853238 ;-11,795759335522 ;105,584504275109 ;-11,1998573851178 ;
22 ;226,115875390474 ;-5,42028080922581 ;103,338905408044 ;-11,7896997192893 ;105,437792086153 ;-11,700033640532 ;
23 ;226,032049372937 ;-5,57830301583673 ;103,176309492997 ;-12,2985441448861 ;105,435143490545 ;-11,6974055518597 ;
24 ;226,029155267538 ;-5,57727106933424 ;103,172458538599 ;-12,2931009622774 ;105,317424656396 ;-12,1372316977151 ;
