Итерация номер 1	
Номер узла 	U1 	U2 	U 	delta 	
2	109,999564139566	-0,000797505015941406	109,999564142457	-7,25007432679977E-06	
32	9,65552858737052	-0,232483844368151	9,65832703108677	-0,0240731443275229	
67	9,60848058644136	-0,226841706967811	9,61115790839171	-0,0236041041863483	
34	9,64576620240047	-0,230118238597771	9,64851076773543	-0,0238523919425882	
37	9,63728432383482	-0,226246828360236	9,63993966608585	-0,0234718900615386	
65	9,61941132383074	-0,228580071323593	9,62212674339979	-0,0237579053000931	
26	9,70542970711852	-0,241961968817214	9,70844536443259	-0,024925414497926	
71	9,56445476992946	-0,210438912642291	9,56676954786622	-0,0219986366191164	
69	9,58262154525394	-0,217216973172992	9,58508314481411	-0,0226639212940472	
30	9,67487450233342	-0,237174538796492	9,67778117120628	-0,0245095732324405	
28	9,69064515715446	-0,240093214318058	9,69361894822789	-0,0247707043574274	
48	9,67145466170068	-0,232488923329076	9,67424862058044	-0,0240340429789418	
46	9,6888948012872	-0,236912347309283	9,69179085260911	-0,0244470760232386	
55	9,69215911611811	-0,243255741371924	9,6952112760817	-0,02509293136514	
53	9,66581275782147	-0,229913766046604	9,66854676821093	-0,0237817993951359	
51	9,6648586481915	-0,230024470471461	9,66759556180014	-0,0237955940791129	
62	9,6325932910976	-0,234538738586132	9,63544819567808	-0,0243436424065578	
39	9,63920740200097	-0,227776850628913	9,64189823802724	-0,0236258500655966	
60	9,66994761978378	-0,240014035633044	9,67292580901264	-0,0248155186943108	
58	9,67072168915028	-0,233636446743629	9,67354350681531	-0,0241544545536032	
44	9,70037287556879	-0,239150109276419	9,70332039560879	-0,0246487096723124	
22	9,6070842278508	-0,221215038061181	9,60963076575182	-0,0230221728678177	
6	9,70502400181384	-0,241927332749629	9,70803892195093	-0,0249228893758868	
78	9,69054230685392	-0,23262882892247	9,69333412056819	-0,0240011498662248	
4	9,7181372819425	-0,242386802792464	9,72115958066982	-0,0249365235881656	
15	9,65981153323269	-0,238084800164843	9,6627451187354	-0,0246419515521374	
10	9,66840474518245	-0,239711108601433	9,67137589654406	-0,0247881647311835	
8	9,6843928937645	-0,240681886836069	9,68738321175782	-0,0248474380884099	
80	9,69031234904727	-0,234176742509854	9,6931415015376	-0,0241613648486687	
11	9,64564273316019	-0,229354439370002	9,64836914688823	-0,0237735561110455	
19	9,63826938466119	-0,233512075099492	9,64109768753094	-0,0242228550771442	
74	9,70771302359652	-0,240581587565488	9,71069367495346	-0,0247774478083211	
41	9,62721206053089	-0,222956302005741	9,62979343345616	-0,023154829607998	
21	9,62175923827192	-0,22757264806283	9,62445012192475	-0,0236474662380821	
3	9,71903639967817	-0,24277475801094	9,72206809898986	-0,0249741098355484	
