Номера	1	2	5	11	9	13	7	4	12	10	6	3	8	14	15	
1	0,0158106202950358	-0,00064917500676224	0	0	0	0	0	0	0	0	0	0	0	0	-0,0151614452882736	
2	-0,00064917500676224	6,66772428278983	0	0	0	0	0	-11,94743130227	0	0	0	-0,0083355329878718	0	0	0	
5	0	0	0,0439445022297173	0	0	0	0	-0,0403550742091982	0	0	-0,0394442639617489	0	0	0	0	
11	0	0	0	0,104749029244841	-0,0416465259338292	-0,062499948602016	0	0	-0,00621190421645148	0	0	0	0	0	0	
9	0	0	0	-0,0416465259338292	0,0682948712089507	0	-0,0250259959958406	0	0	-0,0165545844824583	0	0	0	0	0	
13	0	0	0	-0,062499948602016	0	0,0856572943522619	-0,0219949368440918	0	0	0	0	0	0	-0,0119835969706609	0	
7	0	0	0	0	-0,0250259959958406	-0,0219949368440918	0,0726572388400755	-0,0233146775436114	0	0	0	0	-0,0244381942792806	0	0	
4	0	-11,94743130227	-0,0403550742091982	0	0	0	-0,0233146775436114	21,474836960122	0	0	0	0	0	0	0	
12	0	0	0	-0,00621190421645148	0	0	0	0	0,0640402496541389	0	0	0	0	0	0	
10	0	0	0	0	-0,0165545844824583	0	0	0	0	0,168924331453656	0	0	0	0	0	
6	0	0	-0,0394442639617489	0	0	0	0	0	0	0	0,433453450129109	0	0	0	0	
3	0	-0,0083355329878718	0	0	0	0	0	0	0	0	0	0,170112918119833	0	0	0	
8	0	0	0	0	0	0	-0,0244381942792806	0	0	0	0	0	0,257244150308216	0	0	
14	0	0	0	0	0	-0,0119835969706609	0	0	0	0	0	0	0	0,123542236810938	0	
B	Номера	1	2	5	11	9	13	7	4	12	10	6	3	8	14	15	
1	0,133366242241155	-0,065783067351907	0	0	0	0	0	0	0	0	0	0	0	0	-0,0677564748892479	
2	-0,065783067351907	0,102678914867223	0	0	0	0	0	0	0	0	0	-0,752976479904419	0	0	0	
5	0	0	0,195515628683473	0	0	0	0	-0,104797083337012	0	0	-0,997441157653421	0	0	0	0	
11	0	0	0	0,11853207720836	-0,0438403727784558	-0,0657071828065931	0	0	-0,0931363053949596	0	0	0	0	0	0	
9	0	0	0	-0,0438403727784558	0,144482270928011	0	-0,0649899896016017	0	0	-0,364331209673	0	0	0	0	0	
13	0	0	0	-0,0657071828065931	0	0,127121110925268	-0,0384715011406928	0	0	0	0	0	0	-0,237209556474042	0	
7	0	0	0	0	-0,0649899896016017	-0,0384715011406928	0,240749492096484	-0,0799707317530122	0	0	0	0	-0,605718101065025	0	0	
4	0	0	-0,104797083337012	0	0	0	-0,0799707317530122	0,184497415090024	0	0	0	0	0	0	0	
12	0	0	0	-0,0931363053949596	0	0	0	0	0,960168096855253	0	0	0	0	0	0	
10	0	0	0	0	-0,364331209673	0	0	0	0	3,71766540482653	0	0	0	0	0	
6	0	0	-0,997441157653421	0	0	0	0	0	0	0	10,9608918423453	0	0	0	0	
3	0	-0,752976479904419	0	0	0	0	0	0	0	0	0	15,3668669368249	0	0	0	
8	0	0	0	0	0	0	-0,605718101065025	0	0	0	0	0	6,37598001121079	0	0	
14	0	0	0	0	0	-0,237209556474042	0	0	0	0	0	0	0	2,44545934509322	0	
